Timestamp,Asset,Action,Amount,Strategy,Reason,Result,PnL
2026-02-04 11:58:07,BTC/Crypto,BUY,12.0,Auto-Vision,['Test'],PENDING,0.0
2026-02-04 13:31:36,BTC,BUY,10.0,Test,Test,PENDING,0.0
2026-02-04 13:31:36,BTC,BUY,10.0,Test,Test,PENDING,0.0
2026-02-04 13:31:36,BTC,BUY,10.0,Test,Test,PENDING,0.0
2026-02-04 13:31:36,BTC,BUY,10.0,Test,Test,PENDING,0.0
2026-02-04 13:31:36,BTC,BUY,10.0,Test,Test,PENDING,0.0
2026-02-04 13:31:37,BTC,BUY,10.0,Test,Test,PENDING,0.0
2026-02-04 13:31:37,BTC,BUY,10.0,Test,Test,PENDING,0.0
2026-02-04 13:31:37,BTC,BUY,10.0,Test,Test,PENDING,0.0
2026-02-04 13:31:37,BTC,BUY,10.0,Test,Test,PENDING,0.0
2026-02-04 13:31:37,BTC,BUY,10.0,Test,Test,PENDING,0.0
2026-02-04 13:31:37,BTC,BUY,10.0,Test,Test,PENDING,0.0
2026-02-04 13:31:37,BTC,BUY,10.0,Test,Test,PENDING,0.0
2026-02-04 13:31:37,BTC,BUY,10.0,Test,Test,PENDING,0.0
2026-02-04 13:31:37,BTC,BUY,10.0,Test,Test,PENDING,0.0
2026-02-04 13:31:37,BTC,BUY,10.0,Test,Test,PENDING,0.0
2026-02-04 13:31:38,BTC,BUY,10.0,Test,Test,PENDING,0.0
2026-02-04 13:31:38,BTC,BUY,10.0,Test,Test,PENDING,0.0
2026-02-04 13:31:38,BTC,BUY,10.0,Test,Test,PENDING,0.0
2026-02-04 13:31:38,BTC,BUY,10.0,Test,Test,PENDING,0.0
2026-02-04 13:31:38,BTC,BUY,10.0,Test,Test,PENDING,0.0
